facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_HF,MORT_30_PN,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_5_A_P,H_COMP_6_Y_P,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_RECMND_DY,READM_30_AMI,READM_30_HF,READM_30_PN,composite_satisfaction_score,performance_tier,satisfaction_tier,IMM_3,OP_18a,OP_18b,OP_22,OP_23,avg_er_wait_minutes,er_inefficiency_flag
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,3.2,11.4,10.2,18.4,71.0,76.0,80.0,60.0,87.0,73.0,64.0,77.0,13.0,20.1,16.0,73.5,High Performer,Medium,93.0,218.0,217.0,3.0,,217.0,0
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.0,12.1,14.1,21.2,66.0,77.0,82.0,55.0,86.0,68.0,67.0,63.0,13.6,19.8,13.9,70.5,Average,Medium,59.0,145.0,141.0,3.0,,141.0,0
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.7,14.5,12.5,19.6,63.0,75.0,73.0,53.0,83.0,61.0,62.0,56.0,12.5,19.5,15.7,65.75,Low Performer,Medium,64.0,158.0,144.0,1.0,82.0,144.0,0
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,13.4,25.4,59.0,79.0,86.0,60.0,89.0,63.0,70.0,68.0,13.6,20.9,16.5,71.75,Low Performer,Medium,29.0,133.0,128.0,1.0,,128.0,0
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,4.0,12.7,14.4,20.1,63.0,78.0,79.0,57.0,85.0,70.0,61.0,69.0,13.2,20.9,16.2,70.25,Average,Medium,79.0,165.0,156.0,,64.0,156.0,0
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,5.3,12.8,15.9,19.8,59.0,80.0,80.0,60.0,86.0,61.0,59.0,60.0,14.3,21.3,16.3,68.12,Low Performer,Medium,69.0,178.0,164.0,2.0,,164.0,0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,4.8,14.1,10.6,16.9,62.0,75.0,77.0,58.0,83.0,64.0,60.0,62.0,13.9,19.9,16.4,67.62,Low Performer,Medium,75.0,190.0,188.0,2.0,,188.0,0
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,73.0,85.0,84.0,85.0,82.0,95.0,85.0,91.0,13.6,19.6,15.9,85.0,Average,High,97.0,126.0,126.0,1.0,,126.0,0
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,4.5,12.1,18.5,18.7,72.0,82.0,80.0,65.0,88.0,74.0,72.0,79.0,13.6,17.8,16.1,76.5,Low Performer,High,66.0,188.0,185.0,3.0,65.0,185.0,0
010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.0,89.0,84.0,86.0,63.0,87.0,74.0,75.0,78.0,13.6,19.6,16.0,79.5,Average,High,53.0,150.0,145.0,2.0,,145.0,0
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.1,11.5,16.2,69.0,87.0,87.0,74.0,87.0,78.0,82.0,72.0,13.6,19.6,15.5,79.5,Average,High,72.0,134.0,128.0,0.0,,128.0,0
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,4.3,12.8,12.5,17.4,68.0,75.0,76.0,62.0,84.0,68.0,58.0,67.0,13.6,20.8,16.7,69.75,Low Performer,Medium,94.0,215.0,214.0,2.0,,214.0,0
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.5,11.7,13.0,20.8,59.0,80.0,80.0,59.0,83.0,67.0,69.0,68.0,13.8,20.0,16.0,70.62,Low Performer,Medium,31.0,143.0,141.0,1.0,,141.0,0
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,13.8,13.7,17.7,70.0,80.0,82.0,66.0,86.0,73.0,65.0,72.0,14.0,19.9,14.3,74.25,Average,Medium,77.0,205.0,202.0,5.0,,202.0,0
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,2.0,4.7,11.3,10.2,14.5,62.0,78.0,80.0,61.0,89.0,74.0,58.0,79.0,15.9,19.3,17.7,72.62,Low Performer,Medium,94.0,223.0,215.0,2.0,,215.0,0
010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,78.0,85.0,81.0,72.0,89.0,66.0,75.0,66.0,13.6,19.6,15.9,76.5,Average,High,47.0,110.0,108.0,2.0,,108.0,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,3.9,12.6,11.6,20.0,69.0,81.0,78.0,59.0,83.0,69.0,68.0,64.0,14.2,19.2,15.8,71.38,Low Performer,Medium,78.0,171.0,158.0,1.0,93.0,158.0,0
