facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_HF,MORT_30_PN,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_5_A_P,H_COMP_6_Y_P,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_RECMND_DY,READM_30_AMI,READM_30_HF,READM_30_PN,composite_satisfaction_score,performance_tier,satisfaction_tier,IMM_3,OP_18a,OP_18b,OP_22,OP_23,avg_er_wait_minutes,er_inefficiency_flag,median_income,poverty_rate,unemployment_rate,pct_uninsured,pct_college_educated,log_median_income,pop_density_proxy,deprivation_index,pct_metro,pct_rural,avg_rucc_score,gnrl_fac_type_cd,cbsa_cd,bed_count,bed_size_category,log_bed_count,is_large_hospital,high_poverty_area,log_er_wait,rating_squared,state_avg_satisfaction,hospital_type_enc,hospital_ownership_enc,emergency_services_enc
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,3.2,11.4,10.2,18.4,71.0,76.0,80.0,60.0,87.0,73.0,64.0,77.0,13.0,20.1,16.0,73.5,High Performer,Medium,93.0,218.0,217.0,3.0,,217.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,20020,420.0,Very Large (300-500),6.042632833682381,1,1,5.384495062789089,16.0,73.4959,2,2,1
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.0,12.1,14.1,21.2,66.0,77.0,82.0,55.0,86.0,68.0,67.0,63.0,13.6,19.8,13.9,70.5,Average,Medium,59.0,145.0,141.0,3.0,,141.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,240.0,Large (150-300),5.484796933490655,0,1,4.955827057601261,9.0,73.4959,2,2,1
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,4.7,14.5,12.5,19.6,63.0,75.0,73.0,53.0,83.0,61.0,62.0,56.0,12.5,19.5,15.7,65.75,Low Performer,Medium,64.0,158.0,144.0,1.0,82.0,144.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,22520,338.0,Very Large (300-500),5.82600010738045,1,1,4.976733742420574,4.0,73.4959,2,6,1
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,13.4,25.4,59.0,79.0,86.0,60.0,89.0,63.0,70.0,68.0,13.6,20.9,16.5,71.75,Low Performer,Medium,29.0,133.0,128.0,1.0,,128.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,99.0,Medium (50-150),4.605170185988092,0,1,4.859812404361672,1.0,73.4959,2,11,1
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,4.0,12.7,14.4,20.1,63.0,78.0,79.0,57.0,85.0,70.0,61.0,69.0,13.2,20.9,16.2,70.25,Average,Medium,79.0,165.0,156.0,,64.0,156.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,362.0,Very Large (300-500),5.8944028342648505,1,1,5.056245805348308,9.0,73.4959,2,11,1
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,5.3,12.8,15.9,19.8,59.0,80.0,80.0,60.0,86.0,61.0,59.0,60.0,14.3,21.3,16.3,68.12,Low Performer,Medium,69.0,178.0,164.0,2.0,,164.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,134.0,Medium (50-150),4.90527477843843,0,1,5.10594547390058,4.0,73.4959,2,6,1
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,4.8,14.1,10.6,16.9,62.0,75.0,77.0,58.0,83.0,64.0,60.0,62.0,13.9,19.9,16.4,67.62,Low Performer,Medium,75.0,190.0,188.0,2.0,,188.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,252.0,Large (150-300),5.53338948872752,0,1,5.241747015059643,4.0,73.4959,2,11,1
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,73.0,85.0,84.0,85.0,82.0,95.0,85.0,91.0,13.6,19.6,15.9,85.0,Average,High,97.0,126.0,126.0,1.0,,126.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,13820,106.0,Medium (50-150),4.672828834461906,0,1,4.844187086458591,9.0,73.4959,2,11,1
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,4.5,12.1,18.5,18.7,72.0,82.0,80.0,65.0,88.0,74.0,72.0,79.0,13.6,17.8,16.1,76.5,Low Performer,High,66.0,188.0,185.0,3.0,65.0,185.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,22520,185.0,Large (150-300),5.225746673713202,0,1,5.225746673713202,4.0,73.4959,2,2,1
010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,11.5,16.0,89.0,84.0,86.0,63.0,87.0,74.0,75.0,78.0,13.6,19.6,16.0,79.5,Average,High,53.0,150.0,145.0,2.0,,145.0,0,54943,15.8,3.5,10.1,27.2,10.914069763697203,5.4943,0.319,60,40,3.8,01,99901,89.0,Medium (50-150),4.499809670330265,0,1,4.983606621708336,9.0,73.4959,2,2,1
