state,avg_satisfaction,avg_er_wait,hospital_count,median_income,poverty_rate,pct_uninsured,deprivation_index
AK,73.42,133.94,25,82380,10.1,12.9,0.53
AL,73.5,152.57,100,54943,15.8,10.1,0.32
AR,74.08,135.54,91,51956,16.2,11.1,0.42
AZ,70.75,181.59,107,68138,12.9,11.9,0.24
CA,69.54,183.38,378,85301,11.8,6.8,0.25
CO,74.25,138.37,97,79425,8.7,8.0,-0.9
CT,70.21,196.6,36,86164,9.1,5.2,-0.37
DC,67.21,330.0,10,93547,15.2,3.3,0.41
DE,70.21,219.67,13,74172,9.8,6.0,-0.6
FL,70.24,154.01,221,61769,12.4,12.8,0.17
GA,72.88,168.9,149,63992,13.7,13.8,0.55
HI,72.57,118.95,24,85429,9.1,4.5,-0.86
IA,75.94,127.14,118,67519,9.6,5.2,-1.25
ID,75.33,131.05,48,60841,10.6,9.1,-0.78
IL,72.21,175.47,194,70592,11.4,6.7,0.06
IN,72.87,149.3,151,60302,11.8,10.1,-0.32
KS,76.19,122.62,138,63891,10.5,8.0,-0.8
KY,73.68,147.21,103,54183,15.5,7.3,0.25
LA,75.58,135.25,161,54164,18.0,10.1,1.12
MA,71.1,221.93,84,86708,8.8,2.8,-0.62
MD,69.56,245.02,56,92775,7.4,6.0,-0.95
ME,75.14,163.23,36,64865,10.2,8.0,-0.54
MI,71.51,160.51,148,65174,13.1,7.3,0.03
MN,75.27,134.21,136,79508,8.3,5.3,-1.28
MO,72.7,159.55,121,59329,12.4,10.1,-0.07
MS,74.69,133.52,108,47434,19.0,11.8,1.31
MT,73.94,120.43,63,59104,11.5,10.6,-0.44
NC,72.83,183.16,120,62745,13.4,13.0,0.4
ND,75.45,114.3,47,66912,9.2,9.8,-0.98
NE,77.32,118.53,93,69241,9.1,8.0,-1.11
NH,74.33,165.5,28,91439,6.3,7.0,-1.34
NJ,68.88,186.58,79,87208,8.6,6.0,-0.45
NM,71.4,168.28,45,52947,18.0,13.3,1.44
NV,70.56,147.74,46,67584,11.5,12.8,0.57
NY,69.38,200.44,191,74314,12.4,6.2,0.31
OH,73.22,161.02,196,59843,12.9,7.3,-0.08
OK,74.24,122.75,135,57498,14.8,14.2,0.56
OR,73.86,159.61,62,71645,9.8,7.4,-0.52
PA,72.5,185.59,187,65278,11.2,6.0,-0.2
RI,71.96,220.5,13,73206,9.5,4.5,-0.68
SC,73.18,162.29,66,60192,14.1,11.4,0.3
SD,75.73,114.94,61,60034,11.0,8.0,-0.91
TN,72.81,161.77,122,57104,13.9,11.3,0.31
TX,74.14,145.83,468,68721,13.6,17.9,1.04
UT,75.91,132.75,52,81456,7.4,8.2,-1.22
VA,73.3,164.91,96,82741,8.7,7.7,-0.76
VT,74.06,175.11,17,68203,9.9,6.6,-1.0
WA,71.97,171.69,100,84982,8.9,6.8,-0.64
WI,76.28,135.58,141,68905,9.7,5.2,-1.07
WV,74.53,145.77,55,49814,16.3,8.9,1.01
WY,74.81,127.73,30,67241,9.9,12.7,-0.33
