shap_avg_er_wait_minutes,shap_hospital_overall_rating,shap_MORT_30_AMI,shap_MORT_30_HF,shap_MORT_30_PN,shap_READM_30_AMI,shap_READM_30_HF,shap_OP_18b,shap_OP_22,shap_COMP_HIP_KNEE,shap_median_income,shap_poverty_rate,shap_unemployment_rate,shap_pct_uninsured,shap_pct_college_educated,shap_bed_count,shap_pct_metro,shap_pct_rural,shap_avg_rucc_score,shap_deprivation_index,shap_hospital_type,shap_hospital_ownership,shap_emergency_services,facility_id,predicted_satisfaction,actual_satisfaction,top_negative_feature,top_positive_feature
-0.01334542,1.106412,-0.398188,-0.32869974,0.21694705,-0.17937666,0.14836256,-0.18530782,-0.19687887,0.19487688,0.23651826,0.3311825,0.07844009,0.010332847,0.05691119,-2.269356,0.30604935,0.012873679,0.12744747,-0.0011753214,-0.10898208,0.22715418,-0.014772107,0,72.33,73.5,bed_count,hospital_overall_rating
-0.332446,0.21845253,0.098685205,0.60757244,0.2190753,0.055688847,-0.08794831,-0.06268945,-0.3659028,0.17494813,0.21955438,0.3012199,-0.0718148,-0.10064387,-0.039359495,-2.353086,0.29809904,0.098051816,0.101447284,-0.12472333,-0.1531312,0.038271416,-0.03422825,1,71.68,70.5,bed_count,MORT_30_HF
-0.537943,-2.9934924,0.15771753,0.12832138,-0.061788727,-0.07878661,-0.0462446,-0.1427017,-0.06792152,0.5455622,0.30397728,0.03169526,0.02098288,-0.08679081,0.020341225,-3.3468993,0.29651272,0.08645731,0.12688996,-0.18009871,-0.10720974,-0.98201126,-0.032671325,2,66.03,65.75,bed_count,COMP_HIP_KNEE
0.49298418,-3.4845743,0.16215125,-0.19903049,1.1616873,0.07360567,-0.0960234,0.25459698,-0.029381758,-0.043494176,0.41251445,0.40720975,0.107609704,0.05552771,0.34473592,-0.82728547,0.44991538,0.06301385,0.11948244,-0.12433094,0.03590282,0.12383736,-0.019664075,3,72.42,71.75,hospital_overall_rating,MORT_30_PN
0.10061103,-0.013466777,-0.1580816,0.50240433,0.11724069,-0.17403162,0.0018595185,-0.09292555,-0.059728526,0.38164183,0.27722606,0.34925327,-0.017905224,-0.026677728,-0.0056837965,-2.9552643,0.19201301,0.03349683,0.07875256,-0.06917772,-0.14623725,0.14510894,-0.029396143,4,71.41,70.25,bed_count,MORT_30_HF
-0.25133613,-2.6218967,-0.1425341,0.7831371,-0.109841496,-0.31425813,0.2052662,-0.09221271,-0.19242428,0.6262463,0.22383808,0.19588475,0.06041713,-0.04249265,0.019864898,-1.7424239,0.43690234,0.028024964,0.12960613,-0.119065985,-0.10025882,-0.7755779,-0.01976542,5,69.16,68.12,hospital_overall_rating,MORT_30_HF
-0.13198532,-2.4815557,0.15526527,-0.22222969,-0.14472559,-0.120741606,-0.21592683,-0.15834692,-0.16031736,0.60512817,0.33876783,0.14106423,0.063133575,0.0051420005,0.07163908,-2.7217913,0.17296584,-0.0024503884,0.106050126,-0.11472753,-0.043326814,0.2899852,-0.017920036,6,68.39,67.62,bed_count,COMP_HIP_KNEE
0.78541505,0.17188391,0.18794096,0.29457867,0.0837869,0.10527098,0.13439015,0.429016,-0.084332466,-0.07778555,0.57250065,0.52718014,0.0582661,0.035285365,0.06099872,-0.6089457,0.4178365,0.008688654,0.084772706,0.00086427125,0.20669946,0.29330066,-0.017950656,7,76.64,85.0,bed_count,avg_er_wait_minutes
-0.39245674,-2.4925363,0.13524564,1.0406185,0.21679021,0.04126535,-0.588305,-0.31234115,-0.2801848,0.5790228,0.44020167,0.30608335,-0.020268224,-0.012221656,0.18174009,-2.7097995,0.1987031,0.025472838,0.14917351,-0.050346017,-0.07111473,0.18242054,-0.02117754,8,69.52,76.5,bed_count,MORT_30_HF
-0.42602628,0.18945852,0.1509398,0.20407751,0.48851362,0.084045686,0.13420364,0.02287316,-0.20680797,-0.10512178,0.44612032,0.38000548,-0.017418241,-0.03793943,-0.05348575,0.19878973,0.22699265,0.013959986,0.06862427,0.03346347,0.18620339,0.00979672,-0.032665253,9,74.93,79.5,avg_er_wait_minutes,MORT_30_PN
0.83163124,0.2575955,0.19815946,0.2113469,0.108206056,0.10594613,0.10073629,0.3910767,0.41557968,-0.11150955,0.69248986,0.40776712,0.099011354,-0.012772401,-0.06287227,1.4872614,0.3264779,0.065402605,0.05914331,-0.0010118833,0.29386067,-0.34062523,-0.027414817,10,78.47,79.5,hospital_ownership,bed_count
-0.0760049,-2.3814683,-0.17921305,0.115462996,-0.33305788,0.0232124,0.17166421,-0.263647,-0.1784442,0.40290442,0.502712,0.31719846,0.019353764,-0.036388777,0.13310206,-2.4909792,0.28886405,0.0057943603,0.16562487,-0.059696347,-0.15695539,0.19164376,-0.016828654,11,69.14,69.75,bed_count,median_income
-0.41532093,-2.2681909,-0.5297623,0.18727197,0.23021401,-0.048044555,0.02782556,-0.18793361,-0.04614895,-0.09089149,0.47774684,0.32827735,0.09928096,-0.06321406,0.09938265,-2.9791865,0.20981811,0.09200819,0.11327,-0.106018126,-0.06436529,0.2165967,-0.025764327,12,68.23,70.62,bed_count,median_income
-0.06521089,-0.0982179,-0.13179296,0.4945049,-0.40892246,-0.1673447,0.07673172,-0.22307862,0.54422235,-0.07902009,0.45491,0.4273709,0.034940567,-0.0031869416,0.03260201,-2.1201584,0.31699303,0.025980927,0.13537994,-0.05064764,-0.14964215,0.20026039,-0.017272139,13,72.2,74.25,bed_count,OP_22
0.0053745136,-2.1662948,-0.13602635,-0.17019805,0.2725675,0.59683126,0.052520197,-0.22631675,-0.17181179,0.8523559,0.60919356,0.39311025,0.1757937,-0.019364713,0.18199301,-2.6366563,0.38834953,0.03159392,0.095782444,-0.07508121,0.0136770485,0.56403726,-0.007783956,14,71.6,72.62,bed_count,COMP_HIP_KNEE
0.5602016,0.22227782,0.1986997,0.12466503,0.083215296,0.09261423,0.1113299,0.38690674,-0.24837063,-0.08532017,0.5917835,0.5169028,0.054643154,0.006050836,-0.08531324,0.87146336,0.26660958,-0.014505599,0.05989581,0.042686176,0.30758527,0.19057214,-0.022674058,15,77.21,76.5,OP_22,bed_count
0.18005392,-2.4263625,-0.17230402,-0.11555099,0.2063095,-0.29962605,-0.10286575,-0.03687755,0.012775231,0.3573895,0.43822908,0.36015815,-0.00044008027,-0.07509711,0.10871158,-0.95756024,0.29572552,0.033383865,0.14830598,-0.07254347,-0.08053419,0.14582759,-0.026548333,16,70.89,71.38,hospital_overall_rating,median_income
0.038251285,-2.6758897,0.15747142,0.2364036,-0.30426323,0.057963368,0.0017739991,-0.1267435,-0.2857189,0.34204555,0.2678229,0.32159537,0.11647439,-0.039684415,0.034621373,-0.24752207,0.47482133,0.014282549,0.17295663,-0.07769883,-0.041650567,-0.6158351,-0.022633256,17,70.77,67.5,hospital_overall_rating,pct_metro
-0.27005595,-0.17503326,0.08347573,0.3450816,0.41959363,0.0148740355,0.06894184,-0.41438803,-0.045316815,0.37661883,0.44193548,0.2725664,0.021980036,-0.008816094,0.025834924,-2.6383932,0.34815186,0.020493397,0.14321217,-0.0559313,-0.084439486,0.2855124,-0.022690503,18,72.13,73.12,bed_count,median_income
-0.12435796,-2.6197753,-0.62820345,-0.17651182,-0.1662792,-0.3419717,-0.13367024,-0.1466917,-0.16173007,0.48890057,0.44358897,0.30337283,0.12923862,-0.041404895,0.120193794,-3.2601137,0.39969778,0.028870318,0.16038604,-0.11966533,-0.048052765,-0.86977756,-0.019491738,19,66.19,64.5,bed_count,COMP_HIP_KNEE
1.1206081,0.30676708,0.19576295,0.60829,0.33268094,0.083778255,0.28912497,0.49549615,-0.1978193,-0.03758223,0.89000434,0.7116008,0.08206608,-0.036268916,0.047766455,1.7653278,0.29193008,0.053577583,0.051319133,0.02962847,0.32257068,0.25894538,-0.026447682,20,80.61,84.5,OP_22,bed_count
