facility_id,facility_name,state,hospital_type,performance_tier,predicted_satisfaction_v2,actual_satisfaction,residual,overperforming,performance_gap
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,73.21,73.5,0.29,1,0.29
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Average,74.53,70.5,-4.03,0,4.03
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,66.94,65.75,-1.19,0,1.19
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,74.02,71.75,-2.27,0,2.27
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Average,72.24,70.25,-1.99,0,1.99
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,68.84,68.12,-0.72,0,0.72
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,68.89,67.62,-1.27,0,1.27
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,Acute Care Hospitals,Average,77.06,85.0,7.94,1,7.94
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.2,76.5,5.3,1,5.3
010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Average,74.48,79.5,5.02,1,5.02
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Average,76.72,79.5,2.78,1,2.78
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Low Performer,69.79,69.75,-0.04,0,0.04
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Low Performer,69.06,70.62,1.56,1,1.56
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Average,71.39,74.25,2.86,1,2.86
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.57,72.62,1.05,1,1.05
010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Average,78.16,76.5,-1.66,0,1.66
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,70.43,71.38,0.95,1,0.95
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Low Performer,70.36,67.5,-2.86,0,2.86
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Average,71.99,73.12,1.13,1,1.13
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,66.51,64.5,-2.01,0,2.01
010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Average,78.71,84.5,5.79,1,5.79
010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,76.64,82.75,6.11,1,6.11
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Average,71.61,71.12,-0.49,0,0.49
010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,High Performer,73.78,71.75,-2.03,0,2.03
010051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,74.8,72.88,-1.92,0,1.92
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,76.98,79.62,2.64,1,2.64
010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Low Performer,69.12,70.88,1.76,1,1.76
010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Average,70.28,68.25,-2.03,0,2.03
010058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Average,75.37,74.12,-1.25,0,1.25
010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Average,73.01,77.12,4.11,1,4.11
010062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Average,75.97,74.38,-1.59,0,1.59
010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Average,72.1,72.25,0.15,1,0.15
010073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,78.04,73.88,-4.16,0,4.16
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,69.26,64.12,-5.14,0,5.14
010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.27,76.62,5.35,1,5.35
010083,BALDWIN HEALTH,AL,Acute Care Hospitals,High Performer,72.53,70.5,-2.03,0,2.03
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Average,72.01,71.75,-0.26,0,0.26
010086,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,73.35,71.25,-2.1,0,2.1
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Low Performer,69.57,69.25,-0.32,0,0.32
010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Average,72.5,63.62,-8.88,0,8.88
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Average,67.41,65.88,-1.53,0,1.53
010091,GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Average,73.95,72.88,-1.07,0,1.07
010092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,68.73,67.25,-1.48,0,1.48
010095,HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,76.16,83.75,7.59,1,7.59
010097,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,75.74,77.0,1.26,1,1.26
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.51,69.38,-2.13,0,2.13
010100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Low Performer,70.61,72.38,1.77,1,1.77
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,74.66,80.25,5.59,1,5.59
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Average,68.59,68.62,0.03,1,0.03
010104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Average,70.33,71.5,1.17,1,1.17
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Average,73.16,72.5,-0.66,0,0.66
010110,BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Average,75.41,72.88,-2.53,0,2.53
010112,WHITFIELD REGIONAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,72.28,67.62,-4.66,0,4.66
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,69.8,69.25,-0.55,0,0.55
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Acute Care Hospitals,Average,71.83,70.88,-0.95,0,0.95
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Acute Care Hospitals,Low Performer,67.79,66.38,-1.41,0,1.41
010120,MONROE COUNTY HOSPITAL,AL,Acute Care Hospitals,Low Performer,73.16,72.0,-1.16,0,1.16
010125,LAKELAND COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Average,76.45,78.75,2.3,1,2.3
010126,TROY REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,74.21,74.25,0.04,1,0.04
010128,JACKSON MEDICAL CENTER,AL,Acute Care Hospitals,Average,81.37,85.75,4.38,1,4.38
010129,NORTH BALDWIN INFIRMARY,AL,Acute Care Hospitals,Average,72.94,82.0,9.06,1,9.06
010130,ST VINCENT'S ST CLAIR,AL,Acute Care Hospitals,Average,72.52,73.62,1.1,1,1.1
010131,CRESTWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Average,68.59,68.12,-0.47,0,0.47
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,Acute Care Hospitals,Average,74.46,72.88,-1.58,0,1.58
