facility_id,facility_name,state,hospital_type,performance_tier,predicted_satisfaction_v3,actual_satisfaction,residual,overperforming,median_income,poverty_rate,deprivation_index,bed_count,pct_metro
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,High Performer,72.4,73.5,1.1,1,54943,15.8,0.319,420.0,60
010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Average,71.76,70.5,-1.26,0,54943,15.8,0.319,240.0,60
010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,66.05,65.75,-0.3,0,54943,15.8,0.319,338.0,60
010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Low Performer,72.36,71.75,-0.61,0,54943,15.8,0.319,99.0,60
010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Average,71.45,70.25,-1.2,0,54943,15.8,0.319,362.0,60
010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,69.35,68.12,-1.23,0,54943,15.8,0.319,134.0,60
010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,68.22,67.62,-0.6,0,54943,15.8,0.319,252.0,60
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,Acute Care Hospitals,Average,76.17,85.0,8.83,1,54943,15.8,0.319,106.0,60
010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Low Performer,69.63,76.5,6.87,1,54943,15.8,0.319,185.0,60
010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Average,75.33,79.5,4.17,1,54943,15.8,0.319,89.0,60
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Average,78.49,79.5,1.01,1,54943,15.8,0.319,60.0,60
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Low Performer,69.4,69.75,0.35,1,54943,15.8,0.319,432.0,60
010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Low Performer,68.12,70.62,2.5,1,54943,15.8,0.319,344.0,60
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Average,71.85,74.25,2.4,1,54943,15.8,0.319,429.0,60
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Low Performer,71.23,72.62,1.39,1,54943,15.8,0.319,1157.0,60
010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Average,77.61,76.5,-1.11,0,54943,15.8,0.319,69.0,60
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,70.96,71.38,0.42,1,54943,15.8,0.319,115.0,60
010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Low Performer,70.71,67.5,-3.21,0,54943,15.8,0.319,88.0,60
010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Average,72.01,73.12,1.11,1,54943,15.8,0.319,881.0,60
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Low Performer,66.32,64.5,-1.82,0,54943,15.8,0.319,346.0,60
