state,avg_satisfaction,avg_er_wait,pct_high_readmission,avg_rating,pct_er_inefficient,avg_readmission_rate,state_performance_score
AK,73.42,133.94,2.96,0.0,12.2,25,73.2
AL,73.5,152.57,2.83,0.0,12.31,100,70.2
AR,74.08,135.54,2.92,0.0,12.26,91,76.8
AZ,70.75,181.59,3.06,0.01,12.2,107,48.5
CA,69.54,183.38,3.07,0.02,11.98,378,41.0
CO,74.25,138.37,3.48,0.0,11.85,97,77.3
CT,70.21,196.6,3.31,0.0,11.93,36,42.5
DC,67.21,330.0,2.9,0.4,11.53,10,0.0
DE,70.21,219.67,3.08,0.0,12.22,13,38.3
FL,70.24,154.01,3.05,0.0,12.1,221,50.6
GA,72.88,168.9,2.97,0.02,12.22,149,63.5
HI,72.57,118.95,3.08,0.0,12.07,24,70.9
IA,75.94,127.14,3.13,0.0,12.13,118,89.4
ID,75.33,131.05,3.25,0.0,12.06,48,85.1
IL,72.21,175.47,3.02,0.02,12.01,194,58.3
IN,72.87,149.3,3.22,0.0,12.2,151,67.1
KS,76.19,122.62,3.07,0.01,12.13,138,91.8
KY,73.68,147.21,2.84,0.0,12.27,103,72.3
LA,75.58,135.25,2.93,0.01,12.2,161,85.8
MA,71.1,221.93,3.13,0.02,11.9,84,43.1
MD,69.56,245.02,3.23,0.11,11.96,56,29.7
ME,75.14,163.23,3.14,0.0,12.37,36,78.0
MI,71.51,160.51,3.05,0.01,12.18,148,56.9
MN,75.27,134.21,3.32,0.0,12.01,136,84.1
MO,72.7,159.55,3.09,0.01,12.1,121,64.2
MS,74.69,133.52,2.68,0.0,12.43,108,80.8
MT,73.94,120.43,3.08,0.0,12.1,63,78.8
NC,72.83,183.16,3.22,0.0,12.24,120,60.6
ND,75.45,114.3,3.09,0.0,12.05,47,88.9
NE,77.32,118.53,3.19,0.0,12.07,93,99.2
NH,74.33,165.5,3.14,0.0,11.98,28,72.8
NJ,68.88,186.58,3.11,0.0,12.07,79,36.5
NM,71.4,168.28,2.73,0.0,12.08,45,54.9
NV,70.56,147.74,3.0,0.0,12.16,46,53.7
NY,69.38,200.44,2.84,0.03,11.91,191,36.9
OH,73.22,161.02,3.38,0.01,12.04,196,67.0
OK,74.24,122.75,3.13,0.0,12.22,135,80.2
OR,73.86,159.61,3.18,0.0,12.33,62,71.1
PA,72.5,185.59,3.34,0.01,12.05,187,58.2
RI,71.96,220.5,3.46,0.08,11.93,13,48.5
SC,73.18,162.29,3.32,0.0,12.26,66,66.5
SD,75.73,114.94,3.26,0.0,12.06,61,90.4
TN,72.81,161.77,3.05,0.0,12.27,122,64.4
TX,74.14,145.83,3.18,0.01,12.15,468,75.3
UT,75.91,132.75,3.69,0.0,11.88,52,88.2
VA,73.3,164.91,3.54,0.0,12.01,96,66.8
VT,74.06,175.11,3.18,0.0,12.16,17,69.4
WA,71.97,171.69,3.14,0.01,12.32,100,57.6
WI,76.28,135.58,3.48,0.0,12.04,141,89.9
WV,74.53,145.77,2.85,0.0,12.23,55,77.6
WY,74.81,127.73,3.2,0.0,12.08,30,82.6
